EU_Trend,OF_Trend,OS_Trend,SF_Trend,USB_Trend,PLT_Trend,PLD_Trend,USDI_Trend
1,1,0,1,1,0,1,0
1,0,1,0,0,1,1,0
0,1,1,0,0,0,0,0
1,1,1,1,1,1,1,1
0,1,1,0,1,0,1,1
1,1,1,0,0,0,1,0
0,1,1,1,1,1,1,0
1,1,1,0,0,1,1,0
0,0,0,0,0,0,0,1
1,1,1,0,0,0,0,1
0,0,0,1,0,1,1,0
1,1,1,1,1,1,1,0
0,1,1,0,1,0,0,1
0,0,0,0,1,0,0,1
0,1,1,0,0,0,0,1
1,0,0,0,0,1,1,0
1,1,1,1,1,1,1,0
0,0,0,1,0,1,1,1
1,0,0,1,1,0,0,0
0,0,0,0,0,0,1,1
1,1,1,1,0,1,1,0
1,0,1,1,1,0,1,0
1,1,0,0,1,0,1,0
0,0,0,1,1,1,1,0
1,1,1,1,1,1,1,0
0,0,0,0,1,0,0,1
1,0,1,1,0,1,1,0
1,1,0,1,0,1,0,0
0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,1
1,1,0,1,1,1,1,0
0,1,0,1,0,1,1,1
0,1,1,0,1,0,0,0
0,1,0,1,0,0,0,1
1,1,1,1,1,1,1,0
0,1,1,0,1,1,1,1
1,1,1,1,1,0,0,0
0,0,0,0,0,1,0,1
1,1,1,0,0,0,0,0
0,1,1,0,0,0,0,1
0,1,1,0,0,1,0,1
1,1,1,0,1,0,1,0
1,0,1,0,1,1,0,0
1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,1
1,1,1,1,0,0,0,0
1,1,1,0,0,0,0,0
0,0,0,1,0,0,0,1
1,0,0,1,1,1,1,0
0,1,1,0,1,0,0,1
0,1,1,1,1,1,1,1
0,0,0,0,0,0,0,1
1,1,1,0,1,0,0,0
0,0,0,1,0,0,0,1
1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1
1,0,0,0,1,1,0,0
0,1,1,0,1,0,1,1
0,0,0,0,1,0,0,1
1,0,0,1,1,1,1,0
1,1,1,0,1,0,0,0
1,0,1,1,1,1,1,0
0,0,0,0,0,0,0,1
0,1,1,1,0,0,0,1
0,0,0,0,0,0,0,1
1,1,1,1,0,1,1,0
1,1,1,1,1,1,1,0
0,0,0,0,0,1,0,1
0,0,0,0,1,0,0,1
0,0,0,1,0,0,1,1
1,1,0,1,1,1,1,0
0,1,1,1,0,1,1,0
0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,1
0,1,1,1,0,1,1,1
1,0,0,0,1,0,1,0
0,0,0,1,0,0,0,1
1,1,1,0,1,0,0,0
1,1,1,1,1,1,1,0
0,1,0,0,0,0,0,1
1,0,1,0,0,0,1,0
0,1,1,1,1,1,1,0
0,0,0,1,0,0,0,1
1,1,0,1,0,0,1,1
1,1,1,0,0,1,1,0
0,0,1,0,0,0,0,1
1,0,1,1,1,0,0,0
1,1,1,0,1,1,0,0
0,1,1,1,0,1,1,0
1,0,1,1,0,1,1,0
0,0,1,0,0,0,1,1
0,1,1,0,1,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,1
0,0,0,1,0,0,0,1
0,0,0,1,0,1,0,1
0,0,0,0,0,0,0,1
0,1,0,1,0,0,0,1
1,0,1,0,1,0,1,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,1,0,0,1,0,1,1
0,0,0,0,0,1,1,1
0,0,1,1,0,1,1,1
1,0,0,1,1,1,1,0
1,1,1,0,1,1,1,0
0,0,0,1,1,0,0,1
0,0,0,0,0,0,0,1
0,1,1,1,1,0,0,1
0,1,0,1,0,1,1,1
0,0,1,0,1,0,0,1
0,0,0,1,0,0,1,1
0,0,0,0,0,0,1,1
1,0,0,1,0,1,1,0
1,1,1,0,1,0,0,0
0,0,0,1,1,1,1,1
1,1,1,1,1,1,1,0
0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,1
0,0,0,1,0,0,1,0
1,0,1,1,1,1,1,0
1,0,0,0,0,1,0,0
1,0,1,0,1,1,1,0
1,1,0,1,0,0,0,0
0,0,0,1,0,0,1,1
1,0,1,0,1,0,0,0
1,0,0,1,1,0,0,1
0,0,0,0,0,0,0,1
1,1,1,0,1,0,1,0
0,1,0,1,0,1,0,1
0,1,1,0,1,0,0,0
0,1,1,0,0,0,0,1
0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,0
0,0,0,1,0,1,0,1
1,1,1,1,1,1,1,0
0,1,0,1,0,0,0,1
0,0,0,1,0,0,0,1
1,1,1,1,0,1,1,0
0,0,0,0,0,0,0,1
0,1,1,1,1,0,1,1
0,1,0,1,0,0,0,1
1,1,1,0,1,1,1,0
1,1,1,0,0,0,0,0
1,1,1,1,1,0,1,0
0,1,1,0,0,0,0,1
0,1,1,0,1,1,1,0
0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,1
0,1,1,0,0,0,0,1
1,1,1,1,1,1,1,0
1,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0
0,0,0,1,0,1,1,1
1,0,0,1,0,0,0,0
0,1,1,0,1,0,0,1
0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,0
1,1,1,1,0,0,0,0
1,1,1,1,1,1,1,0
0,1,0,1,1,0,1,1
0,1,1,1,1,1,0,1
0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0
0,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0
0,0,1,0,0,1,1,1
1,0,0,1,0,1,0,0
1,1,1,1,0,1,1,0
1,1,1,1,0,1,1,0
1,1,0,1,0,1,1,0
0,0,1,1,1,1,1,1
0,0,0,1,0,0,1,1
1,1,1,0,0,0,0,0
0,0,0,0,1,0,0,1
0,1,0,0,0,0,0,1
1,1,1,1,0,1,1,0
0,0,0,1,1,1,1,1
1,0,1,1,1,1,1,0
1,1,0,1,1,1,1,0
1,1,1,1,0,1,1,0
0,1,0,1,0,0,1,1
1,1,1,0,1,1,1,0
1,1,0,0,1,1,1,0
1,1,1,1,0,1,1,0
1,0,1,0,1,1,1,0
0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,1
1,0,0,1,0,1,1,0
0,1,1,0,0,0,0,1
1,1,1,0,0,1,1,0
0,0,0,0,0,0,0,1
0,1,0,0,0,1,0,1
0,0,0,1,0,1,0,1
1,1,1,1,1,1,1,0
0,1,0,0,0,1,1,1
1,0,1,1,0,1,1,0
0,0,0,0,0,1,1,1
1,1,1,0,1,1,1,0
1,0,0,0,1,0,0,0
0,1,1,1,0,0,0,1
0,0,0,1,0,0,0,0
1,1,1,0,0,1,1,0
1,0,0,0,0,0,0,0
1,1,1,0,1,1,0,1
1,0,1,1,1,1,1,0
1,0,1,1,1,1,1,0
0,0,1,1,1,0,0,1
0,0,0,0,0,0,0,1
1,0,0,0,1,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0
0,1,1,1,1,1,1,1
1,1,1,1,0,0,0,1
1,0,1,1,0,1,1,0
0,0,1,0,1,0,1,1
0,0,0,0,0,0,0,1
0,1,1,1,0,0,1,1
1,1,1,1,1,1,1,0
0,0,0,0,0,0,0,1
0,1,1,1,0,1,1,1
0,1,1,1,0,1,0,1
0,0,0,0,0,1,1,1
1,1,1,1,0,1,0,0
1,1,0,0,1,0,0,1
0,0,1,1,0,0,0,1
1,1,1,1,1,1,1,0
1,0,0,0,1,1,0,1
1,1,1,1,1,0,1,0
1,1,1,1,1,1,1,0
0,0,0,1,0,0,0,1
0,0,0,0,0,0,1,1
1,0,0,0,0,0,1,0
1,1,1,0,0,1,1,0
1,1,1,0,0,0,1,0
1,0,1,1,1,1,1,0
1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1
0,0,0,1,0,1,1,1
0,0,0,1,1,1,1,1
1,1,0,1,0,1,1,0
1,1,1,0,1,1,0,0
1,1,1,1,1,0,1,0
1,0,0,0,1,0,0,1
1,1,1,0,0,1,1,0
1,0,1,1,1,0,0,0
1,1,1,0,1,0,0,0
0,1,1,0,0,0,1,0
1,0,1,0,0,0,0,0
0,0,0,1,0,0,1,1
0,0,0,0,1,0,1,1
1,1,1,0,0,1,1,0
1,0,0,1,0,0,1,1
0,0,0,0,0,0,0,1
0,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1
0,0,0,0,1,0,0,1
1,0,1,0,0,1,0,1
1,1,1,0,0,0,0,0
0,1,0,1,0,1,1,1
0,0,1,0,0,1,1,1
1,1,1,1,1,1,1,0
1,0,0,0,0,0,1,0
1,1,1,1,0,1,1,0
0,0,0,1,0,1,1,1
0,1,1,1,0,1,1,1
1,1,1,0,1,0,1,0
0,1,1,0,0,0,0,1
1,1,1,1,1,1,1,0
0,1,0,1,0,0,0,1
1,1,1,0,1,0,1,1
1,0,1,0,1,1,1,0
0,1,1,0,1,0,0,1
1,1,1,1,1,1,1,0
1,1,1,1,0,1,0,0
1,1,0,0,0,0,0,0
1,1,1,1,1,1,1,0
0,0,0,0,0,1,1,1
1,1,1,0,1,1,1,0
0,1,1,1,0,1,0,1
0,1,0,0,0,0,0,1
0,1,0,1,0,0,1,1
1,0,1,0,1,0,1,1
1,1,1,0,1,1,1,0
0,1,0,0,1,1,0,0
0,0,1,0,0,0,0,1
1,0,0,0,1,0,0,1
1,1,1,0,1,0,1,0
0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,1
1,1,1,0,0,0,1,1
0,1,0,1,0,1,1,1
1,0,1,1,1,1,1,1
1,0,1,0,1,0,0,0
0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,1
1,0,0,0,1,0,0,0
1,1,1,0,1,1,1,0
0,0,0,1,1,0,1,1
1,1,1,0,1,1,1,0
0,0,1,1,1,1,1,1
1,0,1,0,1,1,0,0
0,0,1,1,0,0,0,1
0,0,0,0,1,0,0,1
1,1,1,0,1,1,0,0
1,1,1,0,0,0,1,0
0,0,1,1,0,0,0,1
0,0,0,1,0,0,0,1
1,1,1,0,1,1,1,0
0,0,0,1,0,1,0,0
1,1,1,0,1,1,1,0
0,1,1,1,0,1,0,1
1,1,1,0,0,0,1,1
0,1,1,0,0,1,1,1
1,1,1,0,1,0,1,0
1,1,0,0,0,1,1,0
0,0,0,0,1,0,0,1
1,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0
1,0,0,1,0,1,1,0
1,1,1,0,1,0,1,1
1,1,1,1,1,1,1,0
0,0,1,0,1,0,0,1
1,0,0,0,0,1,1,0
1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0
0,1,1,1,0,1,1,1
1,1,1,1,1,0,0,0
0,1,1,1,1,0,1,1
1,0,0,0,1,0,0,0
1,0,1,1,0,1,1,0
0,1,0,1,1,1,1,1
0,0,0,0,1,0,1,1
0,0,0,0,1,0,1,1
0,0,0,0,1,1,1,1
0,1,1,0,0,0,0,1
0,1,1,0,0,0,1,0
0,1,1,0,1,0,0,1
1,1,1,1,1,1,1,0
1,0,0,0,0,0,0,1
0,0,0,1,1,1,1,1
1,0,1,1,0,0,0,0
0,1,0,0,0,0,0,0
0,1,1,0,1,1,1,1
1,0,0,1,0,1,0,0
1,0,1,1,1,1,1,0
0,0,0,0,1,0,0,1
1,1,1,1,0,1,1,0
1,1,1,0,1,0,0,1
1,0,0,1,0,1,1,0
1,1,1,1,0,1,1,0
0,1,1,0,1,0,0,1
1,0,0,1,1,1,1,0
1,0,0,0,0,0,0,0
1,1,1,0,1,0,1,0
1,1,1,0,0,0,0,0
0,1,1,1,0,0,1,0
1,0,1,0,1,0,0,1
1,1,1,1,1,1,0,1
0,1,0,0,1,0,0,1
0,0,0,0,1,0,0,1
0,0,0,1,1,1,1,1
0,1,1,0,1,0,0,1
0,1,1,0,1,1,1,1
1,1,1,0,0,1,1,0
0,1,1,0,0,0,0,1
1,1,1,1,1,0,1,0
0,1,1,0,1,0,1,1
1,0,0,1,0,1,1,0
0,1,1,0,1,1,1,1
1,1,1,1,1,1,1,0
1,0,0,1,0,1,0,0
0,1,1,0,1,0,0,1
0,1,1,0,0,1,1,1
1,1,0,1,0,1,1,0
0,0,1,0,0,0,1,1
0,1,1,1,1,1,1,1
1,0,1,0,0,1,1,0
1,1,0,1,1,1,0,0
1,1,1,0,1,0,0,0
0,0,0,0,1,0,1,1
1,1,1,1,0,1,0,0
1,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0
1,0,0,1,1,0,0,1
0,1,1,0,1,0,1,1
1,0,0,1,0,1,0,0
0,0,0,0,1,1,1,0
1,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0
1,0,0,1,0,1,1,0
0,1,1,1,0,1,1,1
0,1,1,1,1,0,0,1
0,1,1,1,1,0,0,1
0,1,1,1,0,1,1,0
0,0,1,1,1,0,1,1
1,0,0,1,1,0,0,0
1,1,0,0,0,1,0,0
0,0,0,1,1,0,0,1
0,1,1,0,1,1,1,1
1,1,1,1,0,0,0,0
0,0,0,1,0,1,0,1
1,1,1,1,0,0,0,0
0,1,1,0,1,1,0,1
0,0,0,0,0,0,0,1
0,0,0,0,1,1,0,1
0,1,1,1,1,1,0,1
1,0,0,0,1,0,0,0
0,1,1,1,1,0,0,1
1,1,1,1,0,1,1,0
1,0,0,0,0,0,0,0
1,0,0,0,1,0,1,1
1,1,1,1,0,0,0,0
0,1,1,0,0,0,1,0
0,1,0,0,0,1,1,0
1,0,0,0,0,0,1,0
1,0,0,0,0,0,1,1
1,1,1,1,0,1,0,0
1,0,0,1,1,0,1,1
0,1,0,0,0,0,0,1
0,0,0,1,0,0,0,1
0,1,0,0,0,1,1,1
1,0,0,1,0,1,1,0
0,1,1,0,1,0,0,1
1,0,0,1,0,1,1,0
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0
0,1,1,0,1,1,0,1
1,1,0,1,0,1,1,0
0,1,1,1,1,1,1,1
0,0,0,0,1,0,0,1
0,1,1,0,1,0,1,1
1,0,0,0,1,0,1,0
1,0,1,1,1,1,1,0
0,0,0,0,0,1,0,1
1,1,1,1,0,1,1,0
1,0,0,1,0,1,1,0
1,1,1,1,0,1,1,1
0,0,0,1,1,0,1,1
1,1,0,1,0,1,1,0
0,0,0,0,0,0,0,1
1,0,1,1,1,1,1,0
1,0,1,0,0,1,0,0
0,1,1,0,1,1,1,1
0,0,0,0,0,0,1,1
0,1,0,1,1,1,0,1
0,0,0,1,1,1,1,1
1,1,0,0,0,1,1,0
0,0,0,0,1,0,1,1
1,0,1,1,0,1,1,0
0,0,0,0,0,0,0,1
0,1,0,0,1,0,0,1
1,1,1,1,1,0,0,0
1,0,0,0,1,0,0,1
1,1,1,0,0,1,0,0
0,1,1,1,0,1,1,1
1,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0
1,0,1,1,1,1,1,0
0,1,1,0,1,0,0,1
1,1,1,1,0,0,1,0
1,1,0,0,0,0,1,0
0,0,0,0,0,1,1,1
1,0,0,0,0,0,0,0
1,1,0,0,1,0,0,1
0,0,1,1,0,1,0,0
0,1,1,0,1,0,0,1
1,1,1,0,0,1,1,0
1,0,1,1,1,1,1,1
1,0,1,0,1,0,1,0
1,1,1,1,0,0,0,1
1,0,0,1,0,1,0,0
1,0,1,1,0,1,1,0
1,1,0,1,1,0,0,0
0,0,1,0,1,0,0,1
0,1,0,1,0,0,0,1
0,0,0,1,0,1,1,1
0,0,0,1,1,1,0,1
1,0,0,0,0,1,1,0
0,1,1,0,0,0,1,1
0,0,0,0,1,1,0,1
1,0,0,1,0,1,0,0
1,1,1,1,0,1,1,0
1,0,0,1,0,1,0,0
1,0,1,0,1,0,0,1
0,1,1,0,1,1,1,1
1,0,0,0,0,1,1,0
0,0,0,1,0,1,1,1
1,1,1,0,1,0,1,0
0,1,1,0,1,1,0,1
1,0,1,1,0,1,0,0
0,1,0,0,0,0,0,1
0,0,0,1,1,0,0,1
0,1,1,0,1,0,0,1
0,1,1,1,0,1,0,0
0,1,1,0,1,0,0,1
1,0,0,1,0,1,0,0
0,0,1,0,1,0,0,1
1,1,0,1,1,1,1,0
1,1,1,1,1,0,1,0
1,1,1,0,0,1,1,0
1,0,0,1,0,1,1,0
0,1,1,1,1,1,1,0
0,1,0,1,1,1,1,1
1,0,1,1,0,1,1,0
1,1,1,1,1,1,1,0
1,1,1,1,0,0,0,0
0,1,1,0,1,0,0,1
0,0,0,0,1,1,1,1
1,0,0,0,0,1,1,0
0,1,1,1,1,1,1,0
1,0,0,0,0,1,0,0
0,1,1,0,0,0,0,1
1,0,0,0,0,1,1,0
0,1,1,1,0,1,1,1
1,0,0,0,1,1,1,1
0,0,0,1,1,1,1,0
1,1,1,1,1,1,1,0
1,1,1,0,1,0,1,1
0,0,0,0,0,1,0,1
0,1,0,0,0,0,0,0
1,0,0,1,0,1,1,0
0,0,1,0,0,1,1,1
1,1,1,1,1,0,0,0
1,0,0,0,1,0,1,0
1,1,1,0,0,0,0,1
0,0,1,0,1,0,0,1
0,1,0,0,1,0,1,1
1,1,1,0,0,0,1,0
1,0,0,0,0,0,1,0
0,1,0,0,1,0,0,1
0,1,1,0,0,0,0,1
0,1,1,0,0,0,0,1
1,1,1,0,1,1,1,1
1,0,0,1,0,1,1,0
1,0,0,0,1,1,1,0
0,0,0,1,1,1,1,1
0,1,1,0,0,1,1,1
0,1,1,0,0,1,1,0
1,0,0,1,0,0,0,0
1,1,1,1,0,1,1,0
1,1,1,0,1,1,1,0
1,0,0,1,0,1,1,0
0,0,0,0,0,1,1,1
0,1,1,1,1,0,1,1
0,0,1,0,0,0,0,1
1,1,0,1,1,0,1,0
0,0,1,0,1,0,1,1
0,1,0,0,0,0,0,1
1,0,0,1,0,0,1,0
1,0,0,1,0,1,1,0
1,0,0,1,0,1,1,0
1,0,1,0,1,0,0,0
0,1,0,0,0,1,1,1
1,0,0,0,0,0,1,1
1,1,1,1,0,1,0,0
1,0,0,0,1,1,1,0
1,0,1,1,0,1,1,0
0,1,1,0,0,0,0,1
0,0,0,0,1,0,1,1
0,0,0,0,1,0,0,1
0,1,1,1,1,1,1,0
0,1,1,0,0,1,1,1
1,1,1,1,0,1,1,0
0,1,0,0,0,0,0,0
0,0,1,0,1,0,1,1
